Rvv,muvv,mupv,sigmav,C,conv_status
0.005, 1.0, 0.1, 0.018, 0.23081736988304458, true
0.01, 1.0, 0.1, 0.06, 0.23936304490679983, true
0.01, 1.0, 0.1, 0.123, 0.24042903422589995, true
0.01, 1.0, 0.1, 0.024, 0.2332307376387446, true
0.015, 1.0, 0.1, 0.069, 0.23975295845796335, true
0.015, 1.0, 0.1, 0.039, 0.23742389775886621, true
0.01, 1.0, 0.1, 0.102, 0.24032191542838016, true
0.0, 1.0, 0.1, 0.09, 0.2401326659383421, true
0.01, 1.0, 0.1, 0.057, 0.23922553232492486, true
0.02, 1.0, 0.1, 0.012, 0.22755316129831388, true
0.01, 1.0, 0.1, 0.066, 0.2396610178169395, true
0.015, 1.0, 0.1, 0.021, 0.23201926678547471, true
0.005, 1.0, 0.1, 0.111, 0.2403732678598838, true
0.005, 1.0, 0.1, 0.054, 0.23906278272139847, true
0.0, 1.0, 0.1, 0.129, 0.24048145841967672, true
0.0, 1.0, 0.1, 0.096, 0.24024057124993775, true
0.015, 1.0, 0.1, 0.042, 0.23786572100081824, true
0.015, 1.0, 0.1, 0.12, 0.2404393523801622, true
0.015, 1.0, 0.1, 0.078, 0.23997731360009703, true
0.01, 1.0, 0.1, 0.12, 0.24043865394374184, true
0.01, 1.0, 0.1, 0.078, 0.23997840766297687, true
0.005, 1.0, 0.1, 0.045, 0.238223780215555, true
0.015, 1.0, 0.1, 0.033, 0.2361963138782887, true
0.005, 1.0, 0.1, 0.039, 0.23742050523401037, true
0.01, 1.0, 0.1, 0.033, 0.2362596099763896, true
0.015, 1.0, 0.1, 0.048, 0.2385501099654536, true
0.02, 1.0, 0.1, 0.033, 0.23618872486510295, true
0.005, 1.0, 0.1, 0.0, 0.2224550370370375, true
0.005, 1.0, 0.1, 0.027, 0.23389707754941846, true
0.005, 1.0, 0.1, 0.015, 0.22938510664812392, true
0.005, 1.0, 0.1, 0.129, 0.24048238488373205, true
0.015, 1.0, 0.1, 0.144, 0.2405182376423648, true
0.01, 1.0, 0.1, 0.015, 0.22935714723318693, true
0.0, 1.0, 0.1, 0.117, 0.24039513699717044, true
0.02, 1.0, 0.1, 0.027, 0.23385397745327743, true
0.005, 1.0, 0.1, 0.138, 0.24049313703365463, true
0.015, 1.0, 0.1, 0.009, 0.2262255238604083, true
0.01, 1.0, 0.1, 0.012, 0.22791373209137553, true
0.01, 1.0, 0.1, 0.069, 0.2397573078841917, true
0.005, 1.0, 0.1, 0.144, 0.24051931320208214, true
0.01, 1.0, 0.1, 0.144, 0.2405186169077661, true
0.01, 1.0, 0.1, 0.009, 0.2264428265627049, true
0.005, 1.0, 0.1, 0.051, 0.23886201211390112, true
0.015, 1.0, 0.1, 0.108, 0.2403598914749433, true
0.01, 1.0, 0.1, 0.021, 0.23205759689277536, true
0.0, 1.0, 0.1, 0.144, 0.24052047362746662, true
0.0, 1.0, 0.1, 0.15, 0.2405455902225566, true
0.0, 1.0, 0.1, 0.087, 0.24012791440934603, true
0.005, 1.0, 0.1, 0.093, 0.24018676160412145, true
0.015, 1.0, 0.1, 0.03, 0.23527850053314306, true
0.005, 1.0, 0.1, 0.036, 0.23695847431582537, true
