Rvv,muvv,mupv,sigmav,C,conv_status
0.1, 1.0, 0.08, 0.32, 0.24070207172828778, true
0.1, 1.0, 0.16, 0.2, 0.24058753178458414, true
0.1, 1.0, 0.12, 0.22, 0.2406178804434681, true
0.1, 1.0, 0.16, 0.33, 0.24068339955719645, true
0.1, 1.0, 0.12, 0.19, 0.2405906246036084, true
0.1, 1.0, 0.12, 0.27, 0.24067248187801016, true
0.1, 1.0, 0.04, 0.31, 0.24069542194422955, true
0.1, 1.0, 0.16, 0.32, 0.24068780722621774, true
0.1, 1.0, 0.0, 0.18, 0.24070087473227952, true
0.1, 1.0, 0.04, 0.3, 0.24068684959552072, true
0.1, 1.0, 0.08, 0.29, 0.2406978451983453, true
0.1, 1.0, 0.0, 0.07, 0.24071588981231953, true
0.1, 1.0, 0.12, 0.07, 0.23929982681971382, true
0.1, 1.0, 0.08, 0.35, 0.24069476658051786, true
0.1, 1.0, 0.04, 0.24, 0.24067813932119836, true
0.1, 1.0, 0.12, 0.11, 0.24025121790703635, true
0.1, 1.0, 0.04, 0.06, 0.23996273545721794, true
0.1, 1.0, 0.16, 0.19, 0.24055711678941027, true
0.1, 1.0, 0.08, 0.02, 0.2270039689388964, true
0.1, 1.0, 0.04, 0.25, 0.24066942385554854, true
0.1, 1.0, 0.0, 0.31, 0.2407099166319624, true
0.1, 1.0, 0.04, 0.1, 0.24052067034867167, true
0.1, 1.0, 0.12, 0.29, 0.24068344068610695, true
0.1, 1.0, 0.16, 0.27, 0.24066487928559407, true
0.1, 1.0, 0.08, 0.11, 0.24039648085988646, true
0.1, 1.0, 0.12, 0.17, 0.2405777698599017, true
0.1, 1.0, 0.12, 0.16, 0.24053730222570163, true
0.1, 1.0, 0.16, 0.09, 0.23973968688419567, true
0.1, 1.0, 0.0, 0.11, 0.24067684990737034, true
0.1, 1.0, 0.0, 0.19, 0.24068753305979393, true
0.1, 1.0, 0.0, 0.27, 0.24071130553396214, true
0.1, 1.0, 0.16, 0.1, 0.23991443694874243, true
